Type,Test Suite,ID,Title,Hours Expected,Type,Phase,Configurations,Resources,Status,Attempts,Last Attempt Date,Last Attempt Time,Actual Hours,Testers,Faults,CR ID,Results,Version,Build,Link2,Result Notes,Requirements,Created Date,Created Time,Updated Date,Updated Time,Author,Update By,Prerequisites,Description,Results,Notes Field 1,Revision History,Link,Priority
case,iCOM_CR\Fans,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,RemoteSensors,RemoteSensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\RemoteSensors,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\RemoteSensors,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\RemoteSensors,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\RemoteSensors,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,Compressor,Compressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Compressor,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Compressor,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Compressor,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Compressor,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Compressor,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Compressor,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Compressor,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Compressor,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Compressor,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Compressor,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Compressor,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,Reheater,Reheater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Reheater,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Reheater,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Reheater,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,Condenser,Condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Condenser,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Condenser,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Condenser,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,ChilledWater,ChilledWater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\ChilledWater,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\ChilledWater,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\ChilledWater,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\ChilledWater,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\ChilledWater,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,SystemInfo,SystemInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemInfo,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemInfo,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemInfo,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemInfo,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemInfo,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemInfo,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemInfo,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemInfo,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemInfo,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemInfo,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemInfo,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,SystemOperations,SystemOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemOperations,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemOperations,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemOperations,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemOperations,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemOperations,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemOperations,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemOperations,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemOperations,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,EventConfiguration,EventConfiguration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\EventConfiguration,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,SystemEvents,SystemEvents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\SystemEvents,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,AssetMgmt,AssetMgmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AssetMgmt,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AssetMgmt,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AssetMgmt,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AssetMgmt,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AssetMgmt,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AssetMgmt,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,Time,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Time,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
