Programatic Name,OID Name,OID Numeric,Index Name
evt_sys_shutdownPwrLoss,lgpConditionLostPower,.1.3.6.1.4.1.476.1.42.3.2.1.19
st_sys_shutdownPwrLossEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4715
st_sys_shutdownPwrLossType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4716
evt_sys_smokeDetected,lgpConditionSmokeDetected,.1.3.6.1.4.1.476.1.42.3.2.1.17
st_sys_smokeDetectedEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4721
st_sys_smokeDetectedType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4722
evt_sys_waterUnderFloor,lgpConditionWaterUnderFloor,.1.3.6.1.4.1.476.1.42.3.2.1.14
st_sys_waterUnderFloorEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4724
st_sys_waterUnderFloorType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4725
evt_sys_serviceReq,lgpConditionServiceCooling,.1.3.6.1.4.1.476.1.42.3.2.1.26
st_sys_serviceReqEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4727
st_sys_serviceReqType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4728
evt_fan_issue,lgpConditionBlowerFanFailure,.1.3.6.1.4.1.476.1.42.3.2.1.43.4
st_fan_issueEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4730
st_fan_issueType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4731
st_sys_eventAckReset,lgpConditionControlEventReset,.1.3.6.1.4.1.476.1.42.3.2.4.1,
st_sys_eventAckReset,lgpConditionControlEventReset,.1.3.6.1.4.1.476.1.42.3.2.4.1,
st_sys_eventAckReset,lgpConditionControlEventReset,.1.3.6.1.4.1.476.1.42.3.2.4.1,
st_sys_eventAckReset,lgpConditionControlEventAck,.1.3.6.1.4.1.476.1.42.3.2.4.2,
st_sys_eventAckReset,lgpConditionControlEventAck,.1.3.6.1.4.1.476.1.42.3.2.4.2,
st_sys_eventAckReset,lgpConditionControlEventAck,.1.3.6.1.4.1.476.1.42.3.2.4.2,
st_sys_eventAckReset,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4717
val_sys_tm_nextMaintMonth,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4868
val_sys_tm_nextMaintYear,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4869
val_sys_pct_maintenanceRamp,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4870
val_sys_tm_dateTime,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4293
