Programmatic Name,Velocity Register
evt_ext_inpContact06,4275
evt_ext_inpContact07,4276
evt_ext_inpContact08,4277
evt_ext_inpContact09,4278
evt_ext_inpContact10,4279
evt_ext_inpContact11,4280
evt_ext_inpContact12,4281
evt_ext_inpContact13,4282
evt_ext_inpContact14,4283
evt_ext_inpContact15,4284
evt_ext_inpContact16,4285
evt_sys_userOutAmpOverPhsA,4286
evt_sys_userOutAmpOverPhsB,4287
evt_sys_userOutAmpOverPhsC,4288
evt_inv_xfrInhibitExt,4289
evt_inv_shutdownOverload,4290
val_sys_temp_inletAir,4291
val_sys_tm_operating,4292
val_sys_tm_dateTime,4293
evt_sys_inletAirOverTemp,4294
evt_rct_failure,4295
evt_rct_inhibitExt,4296
evt_sys_loadOnInverter,4297
evt_sys_loadOnBypass,4298
evt_sys_loadOnMaintBypass,4299
evt_sys_internalCommFailure,4300
st_rct_cfgInpFilterPassiveSwitch,4301
st_rct_cfgInpFilterActive,4302
st_sys_cfgUpsModuleType,4303
st_sys_cfgBypWire,4304
st_sys_cfgOutWire,4305
st_sys_cfgStaticSwitchType,4306
st_ups_outputSource,4307
evt_dcb_groundFaultPos,4308
evt_dcb_groundFaultNeg,4309
evt_sys_overTemperature,4310
evt_sys_fanFailure,4311
evt_sys_fanMultipleFailure,4312
evt_sys_passwordChanged,4313
evt_sys_powerSupplyFailure,4314
evt_sys_inpOnGenerator,4315
evt_sys_autoRestartInProgress,4316
evt_sys_autoRestartInhibitExt,4317
st_sys_inpSource,4318
st_load_source,4319
evt_byp_manXfr,4320
evt_byp_manReXfr,4321
evt_bat_testPassed,4322
evt_bat_testFailed,4323
evt_bat_testManualStop,4324
evt_byp_backfeedBrkrOpen,4325
st_sys_fanStatus,4326
st_sys_fanRedundant,4327
st_sys_fanCapacity,4328
str_sys_name,4329
str_sys_description,4330
str_sys_location,4331
str_sys_contact,4332
str_sys_manufacturer,4333
val_sys_tm_manufacturerDate,4334
str_sys_firmwareVersion,4335
val_stk_na_vel485outBufPeak,4336
val_stk_na_vel485outBufSize,4337
val_stk_na_vel485HeaderCrcErrors,4338
val_stk_na_vel485DataCrcErrors,4339
val_stk_na_velAuthenFailure,4340
evt_stk_velAuthenFailure,4341
val_stk_na_velRtrCacheMissCnt,4342
str_sys_netAddress,4343
str_sys_netGateway,4344
str_sys_netMask,4345
str_sys_netDNS1,4346
str_sys_netDNS2,4347
str_rcp_labelSysAssign,4348
st_rcp_type,4349
st_rcp_lineSource,4350
st_rcp_capabilities,4351
val_rcp_ep_outRms,4352
val_rcp_ec_outRms,4353
val_rcp_pwr_out,4354
val_rcp_ap_out,4355
val_rcp_pf,4356
val_rcp_freq,4357
val_rcp_enrg_accumulated,4358
str_rcp_labelUsrAssign,4359
evt_rcp_ec_over,4360
evt_rcp_ec_under,4361
st_rcp_pwrState,4362
str_rcp_assetTag01,4363
str_rcp_assetTag02,4364
st_rcp_control,4365
st_rcp_controlLock,4366
val_rcp_ec_thrshldUnderAlarm,4367
val_rcp_ec_thrshldOverWarn,4369
val_rcp_ec_thrshldOverAlarm,4370
val_rcp_pwrOnDelay,4371
str_rem_labelSysAssign,4372
str_rem_model,4373
st_rem_rcpType,4374
st_rem_capabilities,4375
st_rem_lineSource,4376
val_rem_rcpCnt,4377
val_rem_ep_rated,4378
val_rem_ec_rated,4379
val_rem_freq_rated,4380
val_rem_enrg_accumulated,4381
evt_sys_inpCurrentImbal,4382
evt_byp_remoteOffExt,4383
evt_bat_disconnectEoD,4384
val_sys_ep_outRmsPhsAN,4385
val_sys_ep_outRmsPhsBN,4386
val_sys_ep_outRmsPhsCN,4387
evt_sys_outFault,4389
evt_inv_offExt,4390
evt_inv_ssSCRShort,4391
evt_sys_tempSensorError,4392
str_aps_labelSysAssign,4393
str_rem_serialNumber,4394
val_aps_posRel,4395
val_rem_posRel,4396
val_rcp_pos,4397
str_rem_snAps,4398
str_rcp_snRem,4399
str_rem_firmwareVersion,4400
val_rem_ep_LN,4401
val_rem_ec_LN,4402
val_rem_pwr_LN,4403
val_rem_ap_LN,4404
val_rem_pf_LN,4405
evt_rem_ec_overLN,4406
evt_rem_ec_underLN,4407
val_rem_ec_thrshldUnderAlarmLN,4408
val_rem_ec_thrshldOverWarnLN,4409
val_rem_ec_thrshldOverAlarmLN,4410
val_rem_ep_LL,4411
val_rem_ec_LL,4412
val_rem_pwr_LL,4413
val_rem_ap_LL,4414
val_rem_pf_LL,4415
evt_rem_ec_overLL,4416
evt_rem_ec_underLL,4417
val_rem_ec_thrshldUnderAlarmLL,4418
val_rem_ec_thrshldOverWarnLL,4419
val_rem_ec_thrshldOverAlarmLL,4420
evt_rem_failure,4421
str_pem_labelSysAssign,4422
str_pem_model,4423
st_pem_wiringType,4424
val_pem_ep_inputRated,4425
val_pem_ec_inputRated,4426
val_pem_freq_rated,4427
val_pem_enrg_accumulated,4428
str_pem_serialNumber,4429
str_pem_firmwareVersion,4430
val_pem_ep_LN,4431
val_pem_ec_LN,4432
val_pem_pwr_LN,4433
val_pem_ap_LN,4434
val_pem_pf_LN,4435
evt_pem_ec_overLN,4436
evt_pem_ec_underLN,4437
evt_sys_intrnlTempRise,4438
evt_sys_autoRestartFailed,4439
evt_sys_fuseFailure,4440
evt_sys_controllerError,4441
evt_sys_breakerOpenFail,4442
val_pem_ep_LL,4443
val_pem_ec_LL,4444
val_pem_pwr_LL,4445
val_pem_ap_LL,4446
val_pem_pf_LL,4447
evt_pem_ec_overLL,4448
evt_pem_ec_underLL,4449
val_pem_ep_L1L2,4450
val_pem_ep_L2L3,4451
val_pem_ep_L3L1,4452
val_pem_ep_L1N,4453
val_pem_ep_L2N,4454
val_pem_ep_L3N,4455
val_pem_ec_L1,4456
val_pem_ec_L2,4457
val_pem_ec_L3,4458
val_pem_pwr_L1,4459
val_pem_pwr_L2,4460
val_pem_pwr_L3,4461
val_pem_ap_L1,4462
val_pem_ap_L2,4463
val_pem_ap_L3,4464
val_pem_pf_L1,4465
val_pem_pf_L2,4466
val_pem_pf_L3,4467
evt_pem_ec_overL1,4468
evt_pem_ec_overL2,4469
evt_pem_ec_overL3,4470
evt_pem_ec_underL1,4471
evt_pem_ec_underL2,4472
evt_pem_ec_underL3,4473
val_pem_ec_thrshldUnderAlarmLN,4474
val_pem_ec_thrshldOverWarnLN,4475
val_pem_ec_thrshldOverAlarmLN,4476
val_pem_ec_thrshldUnderAlarmLL,4477
val_pem_ec_thrshldOverWarnLL,4478
val_pem_ec_thrshldOverAlarmLL,4479
val_pem_ec_thrshldUnderAlarmL1,4480
val_pem_ec_thrshldUnderAlarmL2,4481
val_pem_ec_thrshldUnderAlarmL3,4482
val_pem_ec_thrshldOverWarnL1,4483
val_pem_ec_thrshldOverWarnL2,4484
val_pem_ec_thrshldOverWarnL3,4485
val_pem_ec_thrshldOverAlarmL1,4486
val_pem_ec_thrshldOverAlarmL2,4487
val_pem_ec_thrshldOverAlarmL3,4488
str_aps_labelUsrAssign,4489
str_aps_assetTag01,4490
str_aps_assetTag02,4491
evt_rcp_pwrStateChngOn,4492
evt_rcp_pwrStateChngOff,4493
evt_rem_breakerOpen,4494
evt_aps_configChng,4495
evt_bdm_removed,4496
evt_bdm_discovered,4497
str_aps_serialNumber,4498
str_pem_snAps,4499
evt_pem_ec_over,4500
evt_pem_ec_under,4501
evt_pem_failure,4502
evt_pem_failureComm,4503
evt_rem_removed,4504
evt_rem_discovered,4505
evt_rem_ec_over,4506
evt_rem_ec_under,4507
evt_rcp_loadRemoved,4508
evt_rcp_loadAdded,4509
val_rcp_id,4510
val_rem_id,4511
val_pem_id,4512
val_aps_id,4513
val_pem_pwr_total,4514
val_pem_enrg_accumulatedL1,4515
val_pem_enrg_accumulatedL2,4516
val_pem_enrg_accumulatedL3,4517
str_rem_labelUsrAssign,4518
str_rem_assetTag01,4519
str_rem_assetTag02,4520
str_mod_serialNumber,4521
st_pdu_moduleType,4522
evt_mod_removed,4523
evt_mod_added,4524
val_rcp_pct_ecThrshldUnderAlarm,4525
val_rcp_pct_ecThrshldOverWarn,4526
val_rcp_pct_ecThrshldOverAlarm,4527
val_rem_pct_ecThrshldUnderAlarmLN,4528
val_rem_pct_ecThrshldOverWarnLN,4529
val_rem_pct_ecThrshldOverAlarmLN,4530
val_rem_pct_ecThrshldUnderAlarmLL,4531
val_rem_pct_ecThrshldOverWarnLL,4532
val_rem_pct_ecThrshldOverAlarmLL,4533
val_pem_pct_ecThrshldUnderAlarmL1,4534
